Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"01/01/2023","14 ALLENDALE GREEN, PHIBBLESTOWN, DUBLIN 15","Dublin","D15Y5PD","€246,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/01/2023","15 ST JOHNS TERRACE, OLD YOUGHAL RD, CORK CITY","Cork","T23D9P9","€160,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/01/2023","2 KINGS TERRACE, CORK CITY, CORK","Cork","T23X25F","€180,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/01/2023","22 COVE ST, CORK CITY, CORK","Cork","T12YK6K","€120,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/01/2023","3 PARK HILL, SKEHARD RD, CORK","Cork","T12VCR6","€320,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/01/2023","4 SULLIVANS LANE, BARRACK ST, CORK","Cork","T12E3F6","€80,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/01/2023","55 BARRACK ST, CORK, CO CORK","Cork","T12RW59","€120,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/01/2023","89 CHARLEVILLE CLOSE, RATHMINES, DUBLIN 6","Dublin","D06DR72","€310,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/01/2023","9 MOYLANS LANE, CORK, CORK","Cork","T23T8RH","€210,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2023","1 DREWS TERRACE, EVERGREEN ST, CORK","Cork","T12H2DF","€237,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2023","1 GLEN RD COTTAGES, DRUMNASILLAGH, GLENTIES","Donegal","F94X6X5","€120,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2023","10 ANNALEE GROVE, MAYFIELD, CORK","Cork","T23P6X0","€75,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"03/01/2023","1062 ABBEYLANDS, CASTLEDERMOT, KILDARE","Kildare","R14YF98","€185,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2023","118 MEADOWBANK, BAILE NA NDEISE, CORK RD","Waterford","X91KHX4","€108,313.42","Yes","No","Second-Hand Dwelling house /Apartment",""
"03/01/2023","17 BEECHFIELDS, FETHARD ON SEA, WEXFORD","Wexford","Y34KD63","€220,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2023","183 KILNAP PL, FARRANREE, CORK","Cork","T23A6F2","€211,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2023","19 BRAEMOR PARK, CHURCHTOWN, DUBLIN","Dublin","D14F431","€1,550,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2023","20 SILVERBIRCH, ROCHESTOWN RD, CORK","Cork","T12CHK0","€340,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2023","22 Greenway View, Kiltipper Road, Tallaght","Dublin","","€475,000.00","No","Yes","New Dwelling house /Apartment",""
"03/01/2023","22 PARNELL RD, HAROLDS CROSS, DUBLIN 6","Dublin","D12YXE6","€580,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2023","26 ELM CREST, CASTLE HEIGHTS, CARRIGALINE","Cork","","€387,665.19","No","Yes","New Dwelling house /Apartment",""
"03/01/2023","27 FENNOR LODGE, LEDWIDGE HALL, SLANE","Meath","","€308,370.04","No","Yes","New Dwelling house /Apartment",""
"03/01/2023","29 TOWER HILL, CARROWNANTY, BALLYMOTE","Sligo","F56X625","€112,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2023","3 BREFFNI COURT, DRUMKERRAN, CO LEITRIM","Leitrim","N41CX65","€100,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2023","3 DERRYMORE GARDENS, MOUNTRATH, LAOIS","Laois","","€281,938.00","No","Yes","New Dwelling house /Apartment",""
"03/01/2023","3 GRATTEN MANOR, CLAREMORRIS, MAYO","Mayo","F12E6E8","€156,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2023","35 CAME POINT, CAMETRINGANE, CASTLETOWNBERE","Cork","P75Y882","€164,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2023","38 Castleland Park Avenue, Castleland Park, Balbriggan","Dublin","","€317,200.00","No","Yes","New Dwelling house /Apartment",""
"03/01/2023","42 DROMIN GREEN DROMIN, LISTOWEL, KERRY","Kerry","V31K259","€205,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2023","48 Sanderling, Barnageeragh Grove, Skerries","Dublin","","€329,268.29","No","Yes","New Dwelling house /Apartment",""
"03/01/2023","5 COLUM HALL, PROSPECT WOOD, LONGFORD","Longford","N39HD73","€62,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2023","56 BARRETTS PL, MACROOM, CORK","Cork","P12H319","€148,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2023","64 LAUREL DR, ESKER HILLS, RIDGE RD","Laois","R32AEW5","€205,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2023","65 ARD MHUIRE, CARRICK ON SUIR, TIPPERARY","Tipperary","E32YK54","€140,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2023","7 GLENPARK DR, WOODFARM COURT, PALMERSTOWN DUBLIN 20","Dublin","D20EV25","€410,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2023","7 Manor Lawn, Roxborough Manor, Mulgannon","Wexford","","€303,964.76","No","Yes","New Dwelling house /Apartment",""
"03/01/2023","7 ST ASSAMS DR, RAHENY, DUBLIN 5","Dublin","D05HD78","€525,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2023","73 SANDFORD ROAD, RANELAGH, DUBLIN 6","Dublin","D06X2C5","€1,063,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2023","75 DONNYBROOK CASTLE, DONNYBROOK, DUBLIN 4","Dublin","D04PE83","€475,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2023","APT 32 BLOOMFIELD, ANNACOTTY, BLOOMFIELD","Limerick","V94W9K2","€255,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2023","BALLINAHOWNA, EASKEY, CO SLIGO","Sligo","","€124,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2023","DUNLOE UPPER, BEAUFORT, KILLARNEY","Kerry","V93KV78","€492,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2023","FIRA, CASTLEISLAND, KERRY","Kerry","V92R7R0","€85,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2023","GORTNAGEARAGH, CLONAKILTY, CORK","Cork","P85YX73","€550,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2023","House A, St Flannan's Drive, Clonroadmore","Clare","","€475,770.00","No","Yes","New Dwelling house /Apartment",""
"03/01/2023","KNOCKEENDUBH, KILLARNEY, CO KERRY","Kerry","V93Y7F3","€365,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2023","LONG LAKE HOUSE, TAHILLA, SNEEM","Kerry","V93V8W3","€1,790,995.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2023","NEWBERRY, MALLOW, CO CORK","Cork","P51P7FC","€135,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2023","ROO, GORT, GALWAY","Galway","H91PX25","€362,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2023","ROSE COTTAGE, DUBLIN ROAD, ROCHFORTBRIDGE","Westmeath","","€500,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2023","SHANNON VIEW, CARRICK ON SHANNON, ROSCOMMON","Roscommon","N41FW56","€470,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2023","SHIVEN INN, NEWBRIDGE, BALLINASLOE","Galway","H53H798","€132,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2023","THE HELM, OLIVEVILLE, CHURCHBAY RD","Cork","P43WC58","€322,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2023","THE MOORINGS, 60 COAST RD, MALAHIDE","Dublin","K36CR24","€1,170,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2023","THE OLD POST OFFICE, BRACKLOON, SWINFORD","Mayo","F12D231","€185,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2023","10 STATION ROAD, BARNWELL, HANSFIELD","Dublin","D15DH63","€451,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2023","101 ABBERLEY SQUARE, BELGARD RD, TALLAGHT","Dublin","D24N261","€220,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2023","11A REILLY AVENUE, DOLPHINS BARN, DUBLIN 8","Dublin","D08X0K5","€325,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2023","12 GROSVENOR PLACE, RATHGAR, DUBLIN 6","Dublin","D06E4E1","€231,250.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2023","12 PUTLAND VILLAS, VEVAY RD, BRAY","Wicklow","A98X7Y0","€635,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2023","120 CHARLEMONT, GRIFFITH AVE, DUBLIN 9","Dublin","D09Y889","€483,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"04/01/2023","13 CHURCH ST, SIXMILEBRIDGE, CLARE","Clare","","€135,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2023","13 MARYVILLE RD, RAHENY, DUBLIN 5","Dublin","D05WK70","€530,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2023","13 Westmill Walk, Millers Glen, Swords","Dublin","","€378,854.00","No","Yes","New Dwelling house /Apartment",""
"04/01/2023","130 AN DUICHE, SCALLAGHEEN, TIPPERARY TOWN","Tipperary","E34DD82","€160,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2023","15 Tandy's Way, Tandy's Lane, Adamstown","Dublin","","€450,000.00","No","Yes","New Dwelling house /Apartment",""
"04/01/2023","172 CLUAIN RIOCAIRD, HEADFORD RD, GALWAY","Galway","H91F9KW","€219,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2023","177 Oldtown Woods, Celbridge, Co. Kildare","Kildare","","€343,612.33","No","Yes","New Dwelling house /Apartment",""
"04/01/2023","18 TULLAN STRAND RD, BUNDORAN, DONEGAL","Donegal","F94RP28","€250,000.00","No","No","Second-Hand Dwelling house /Apartment",""
